,pumping_rate,Q,67037,69402,151061,151101,151143,151161,151179,151188,151189,151190,151191,157208,157211,209148,209254,209255,Q_win,pumping_rate_win
2012-01-01,-0.7622936457696904,-0.4501206111345349,22.15783487905854,59.82977263882225,32.87119589723561,10.230773392268164,24.570864566422152,36.005412840009654,23.462301991476735,8.044332054161188,28.47,66.94,35.28082518011258,66.7414695956136,36.34101502949991,39.01977639798458,11.11819259377468,46.17128836708172,0.7333860987819221,-0.0715395817934124
2012-02-01,-0.8739800088793688,-0.47949072250194696,22.59950794119661,60.41470238753635,33.681791552746006,10.64955319825773,25.37245037453603,36.59477704913361,23.75947494658185,8.470402852022595,28.86,67.75,36.278166214846046,67.46016406742291,37.152999578755995,40.11192598837955,11.490707708737542,47.114865460039276,0.727675243793814,-0.07592180777540179
2012-03-01,-0.6561115657535215,-0.16947288029037508,22.75467127886572,60.35701502737647,33.79517888787923,10.731197054202026,25.492404518708746,36.63438353522002,23.611641786758934,8.568856593789256,28.769999999999996,68.04,36.392082346178434,67.52282297564324,37.25954356926895,40.225147944805876,11.626170594429631,47.29799409450876,0.7388250082944056,-0.08811704592753607
2012-04-01,-0.6974104362477962,1.036333358627265,21.68,57.82,29.37,9.4,21.44,34.58,22.4,7.33,27.22,66.15164043862048,31.31,64.82,32.84,35.0,9.64,42.01,0.7870953302176987,-0.09250617720237109
2012-05-01,0.2055259510697348,1.7689544699588218,19.49,51.25,25.638836974769372,7.08,17.18,30.255218222129727,18.653580968547104,5.15,23.77,60.868107846982056,25.1,58.31,29.07242153131331,28.73,9.2,38.28894043883453,0.595917660853896,-0.05394534169513346
2012-06-01,0.3593958084270687,1.6057871845843101,19.172544445026812,51.50133107888014,24.2,6.694816672711076,15.877859419221181,29.53,19.65,4.608196428430862,23.21,58.00999999999999,24.056781709158834,57.82125675999747,27.73,27.04515339788643,8.667407500818165,36.95,0.3041201655091445,-0.018380133780819805
2012-07-01,2.168074591881661,-0.1270493860930021,21.76,51.2,24.32,8.08,17.91,29.91,18.8,5.57,24.5,60.00230203829004,25.65,58.25,27.84,29.28,10.18,37.48,0.13143478848778647,0.01820157139837153
2012-08-01,1.9577791866442398,-0.5251775624068102,21.658413898061667,56.071315402576374,29.19052374594492,9.307362785162896,21.270047852808418,32.98282587271014,20.611562550314,7.206889983202959,26.32,63.11999999999999,30.908156459249277,62.935682781106294,32.69957625223626,34.52104647410973,10.743242203741772,42.209461524963906,0.10043300426662931,0.01775937315113842
2012-09-01,0.8984419609675656,-0.5839177851416343,22.316795346154368,57.1096651829999,30.56537763694175,9.94806669146738,22.60545914608614,33.99726801574444,21.178746455877675,7.855169708861478,26.97,64.555,32.580354441337384,64.186140171723,34.071245930656254,36.326397789312885,11.296234850244222,43.79925222331345,0.08248460287543304,0.014827413755586457
2012-10-01,-0.7631417437946042,-0.47622737679445676,22.885,57.92051317553487,31.8,10.5,23.73,34.96,22.75,8.5,27.65,65.19,33.75,65.1,35.28,37.58,11.44,45.23,0.06834343814297539,0.009843072571852296
2012-11-01,-0.8602913092077148,-0.4305405368895935,23.212413305355554,57.5,32.066841331508016,10.844625934107983,24.132422051524927,35.11117939015082,21.832642139909012,8.755588234205156,27.9,65.7,34.501915259818624,65.4974206951097,35.59612814862773,38.50084098203779,12.050757421476977,45.505229419396905,0.061272855776746536,0.012974779501734915
2012-12-01,-0.8138758977174021,-0.4272771911821033,23.5550492640799,58.61614338544809,32.62550989096552,11.142816426320186,24.68812811904332,35.499905544946316,21.960223574275002,9.065241192577844,28.11,66.33,35.178925837940305,65.97725822100747,36.152904527045955,39.23758663575783,12.341618631489101,46.1763863780475,0.06181674672799492,0.013509407635014311
2013-01-01,-0.6455612502779141,-0.5219142166993199,22.40351209626409,60.358058839851054,33.52564006973519,10.48356064363819,25.188411348954425,36.49920904973375,23.778745832368305,8.297208706323541,28.77,67.67,36.06208928727407,67.3601614229593,36.98974079077817,39.84355923053953,11.322604042283874,46.9203397639026,0.05583394626426282,0.023237107259329
2013-02-01,-0.8547221099122169,-0.508860833869359,22.789027995242872,60.83485116958989,34.196653440971374,10.846927816053837,25.857769812526726,36.984655212484824,24.014590995014654,8.667339598076278,29.1,68.32,36.89329557607318,67.94835901587678,37.66349664209071,40.760570143648444,11.64819297336944,47.7025695675354,0.05338643698364515,0.024841932173258325
2013-03-01,-0.7331914111466545,-0.41422380835214234,23.305,60.6,34.8,11.12,26.65,37.18,24.7,9.19,29.28,68.74,37.37,68.29,38.28,41.38,11.82,48.42,0.03299052631183122,0.01841861172383057
2013-04-01,-0.7918585211935852,-0.025885669160804946,22.464111546521845,59.36779507731285,32.62923152506646,10.407912187727957,24.43636586573193,35.73870440804905,22.981967665798045,8.249994904355638,28.3,66.57,35.04500358215224,66.37113897501578,36.1165029226593,38.859593898956284,11.389163167431683,45.96891020305541,-0.05552772600384127,0.010547937978348151
2013-05-01,0.24202523765552578,1.4067230964274062,21.62,55.98,26.85,7.31,18.92,32.28,18.3,5.26,25.54,66.11,27.35,62.25,30.36,30.58,9.25,39.3,-0.0857136737981259,0.01358954519383073
2013-06-01,0.7301289488709458,0.7083671150244969,20.34982364179874,54.04198872981303,27.029935055834382,7.806666463518697,18.998935521304837,31.27215566990627,19.183734933606186,5.743296699521917,24.35,62.45,27.95551115962767,61.03358409367473,30.452817971370152,31.02780078733013,9.649260569023259,39.9141013504884,-0.16049867959477696,0.044483973564153824
2013-07-01,2.5309743985250077,-0.39138038839971073,22.270000000000003,53.24,25.97,9.01,19.02,31.23,19.85,6.42,25.36,62.269999999999996,27.74,60.26,29.49,31.23,10.83,39.54,-0.18252626312033604,0.07472562411776607
2013-08-01,1.8845728466161373,-0.6384156584567212,22.12444707831176,57.08597026240641,30.44779946449255,9.786706214938567,22.454246659497024,33.93146041732871,21.219185357987822,7.686479385848987,26.89,64.535,32.406171532547994,64.12614016222008,33.94504786241725,36.097418113601826,11.130858398184923,43.649232346016525,-0.19196277112449525,0.06862509578209086
2013-09-01,0.591609571329256,-0.6478793610084429,22.635364896353472,57.80756843406802,31.406939252703882,10.285683927630219,23.403971351852725,34.63779514968691,21.61078881565458,8.190688024229424,27.39,65.44,33.59543491243634,64.98199605045815,34.908376694540294,37.40615299376312,11.560908998660437,44.754064507531105,-0.19729290244672934,0.043055729978898394
2013-10-01,-0.7763544251000735,-0.5153875252843395,23.275,57.55,32.18,10.98,24.17,35.23,22.23,9.17,27.755000000000003,65.3,33.82,65.22,35.8,37.73,12.0,45.65,-0.20055624815421957,0.04195467320344262
